No entries exist for	لفظ کے لئے کوئی اندراج موجود نہیں 
No entries exist starting with this letter.	اِس حرف سے شروع ہونے والا کوئی لفظ موجود نہیں۔
Because of the brevity of your search term, partial search was omitted.	آپ کے مختصر کلیدی تلاش کی وجہ سے جُزوی تلاش کو نظرانداز کردیا گیا۔
Click here to include searching through partial words.	جزوی الفاظ میں تلاش شامل کرنے کے لئے یہاں کلک کیجئے۔
All Parts of Speech	تمام قواعدی اجزاء
All Languages	تمام زبانیں
Search	تلاش کیجئے
Number of entries	اندراج کی تعداد
Last update:	آخری تبدیلی:
Date published:	شائع کرنے کی تاریخ:
Publication Status	شائع کرنے کی صورتِ حال
Rough draft	نا موافق مسودہ
Self-reviewed draft	ذاتی دہرائی کا مسودہ
Community-reviewed draft	برادری کی دہرائی کا مسودہ
Consultant approved	مشیر سے منظور شدہ
Finished (no formal publication)	مکمل (رسمی طور پر غیر شائع شدہ)
Formally published 	رسمی طور پر مکمل
