No entries exist for	Não existem entradas para
No entries exist starting with this letter.	Não existem entradas começando com essa letra
Because of the brevity of your search term, partial search was omitted.	Devido à brevidade do termo de pesquisa, resultados parciais foram omitidos.
Click here to include searching through partial words.	Clique aqui para incluir pesquisa por palavras parciais
All Parts of Speech	Todas as partes da fala
All Languages	Todas as línguas
Search	Pesquisar
Number of entries	Número de entradas
Last update:	Última atualização: 
Date published:	Data de publicação: 
Publication Status	Condição de Publicação
Rough draft	Rascunho
Self-reviewed draft	Rascunho auto-revisado
Community-reviewed draft	Rascunho revisado pela comunidade
Consultant approved	Aprovado por consultor
Finished (no formal publication)	Concluído (sem publicação formal)
Formally published 	Formalmente publicado
